idpm;ih;latitud;longitud
4501;;39,4537208251534;-0,334741453098541
2213;589.0;39,4537310969803;-0,362802894132391
2319;101.0;39,4539506926559;-0,378334884953114
3121;328.0;39,4540566188678;-0,330991787544738
1910;634.0;39,4540751963875;-0,384289699728301
2318;338.0;39,4541352537739;-0,378027666136686
2244;208.0;39,4541477039845;-0,369001150088568
2422;566.0;39,4542186227442;-0,399668352397669
3411;1164.0;39,4542585596795;-0,350681014810575
2243;165.0;39,4543053389829;-0,369079102682329
3132;;39,4543361965373;-0,330599143764439
2313;271.0;39,454351975517;-0,376888468754494
2210;554.0;39,4543958793489;-0,360741001017141
2314;193.0;39,4544092919063;-0,377231070227799
2447;;39,4545061368296;-0,398101118198577
2424;186.0;39,4545246351704;-0,398452192143938
2211;253.0;39,4546199341924;-0,361728471929891
2411;4871.0;39,4546213766315;-0,406316928714502
2209;644.0;39,4546562374016;-0,360398436388085
523;1057.0;39,4546611088392;-0,374285472845654
2421;900.0;39,4547553185131;-0,400638657941037
2425;255.0;39,4547840139876;-0,398044748419428
2328;136.0;39,4548125273594;-0,375761230227719
2245;;39,4548635965451;-0,367682991604499
613;442.0;39,4549055056523;-0,384191704513658
2402;166.0;39,4549173774956;-0,405299274722594
3906;40.0;39,4549287111425;-0,345910383549362
2256;791.0;39,45496215483;-0,353857982513612
2412;589.0;39,4550124006598;-0,405924728239977
2315;257.0;39,4551253864692;-0,377692270691911
2317;131.0;39,4551413646632;-0,378033523190654
2404;4164.0;39,4551466248745;-0,405925995384099
2428;;39,4551552215014;-0,396243304535042
3935;1025.0;39,4551947885912;-0,348823850273332
1911;209.0;39,4552415200073;-0,391124553678305
2246;220.0;39,4552587414948;-0,366411704762935
1912;451.0;39,4552602831263;-0,391190673349706
601;1279.0;39,455303792664;-0,379723990272038
2426;174.0;39,4553702024856;-0,397420328763503
2316;69.0;39,4553866584154;-0,378091100726765
2252;;39,4554979221447;-0,369529129612511
2427;304.0;39,4556386765383;-0,396991166120717
2207;452.0;39,4556774982739;-0,357768992687378
2208;645.0;39,4556834667807;-0,35801330689953
502;1240.0;39,4557472117453;-0,374776408770141
610;1182.0;39,4557906068909;-0,381824867868122
3403;983.0;39,4558823632432;-0,355917350483009
2251;;39,4559189881099;-0,370718081680478
2405;366.0;39,4560229455347;-0,405375600852303
2227;101.0;39,4560919396746;-0,364466010711131
503;;39,4561281288005;-0,371799114004175
2430;111.0;39,4561335018381;-0,395458924185358
2212;201.0;39,456188255901;-0,36304471134865
2429;198.0;39,4562058750071;-0,396383927926707
2420;154.0;39,4563015800693;-0,393969938981895
503;;39,4563782290316;-0,372986049453882
602;749.0;39,4563956799985;-0,383758533737886
3133;;39,4564051189971;-0,331192230866365
2228;200.0;39,4564715561258;-0,363925946917995
1913;28.0;39,4566377516391;-0,388376344529517
2409;77.0;39,4566526336295;-0,404019883362473
1914;242.0;39,456662170223;-0,387962844549249
2408;1404.0;39,4566961974987;-0,404089932223185
2423;1614.0;39,4567876442452;-0,40124542127696
2206;1348.0;39,4568014024628;-0,356531935974334
3104;437.0;39,456814340165;-0,331059185468847
3120;292.0;39,4568557541631;-0,331217706927562
2205;1500.0;39,4569259454299;-0,356273160054257
2431;265.0;39,4569389278218;-0,395476594232255
1921;150.0;39,4569552579839;-0,386945449893238
2257;673.0;39,4569687062213;-0,356163685269125
2403;440.0;39,4569716448747;-0,406098215486796
2419;1960.0;39,4569872344285;-0,401996898162944
615;318.0;39,4570336095148;-0,383713963371083
2445;;39,4570528038482;-0,395937523572555
2225;198.0;39,4570585958092;-0,362134438323847
2226;116.0;39,4570993690695;-0,36244561350112
2448;;39,4571003345476;-0,397262703160451
2230;171.0;39,4571035475124;-0,363488564120197
2401;1671.0;39,4571201410207;-0,403328355803537
2415;20.0;39,4571874735669;-0,403429584174825
529;1224.0;39,4572803698498;-0,374810019375994
2258;935.0;39,4574094702888;-0,357172935807175
2446;;39,4574667794725;-0,397074901512181
2444;;39,4574720403263;-0,396801371645982
2410;142.0;39,4574882246995;-0,404272874332092
522;895.0;39,4575969307532;-0,374272860207811
2407;2129.0;39,457611591857;-0,403125141575119
3902;398.0;39,4576146485401;-0,350232264049506
3904;1653.0;39,4576536517974;-0,345146138732045
2432;;39,4576840540176;-0,394423384226104
506;2096.0;39,457689285008;-0,373814157304105
3907;146.0;39,4577440429271;-0,348196231369624
3919;171.0;39,4578558032855;-0,350316375460311
2433;226.0;39,4578875030451;-0,394418269435858
2224;198.0;39,4579410440513;-0,360466391050353
2259;163.0;39,4579923876568;-0,364303810762027
2223;195.0;39,4580410374775;-0,359844715558335
3903;1999.0;39,4581681792159;-0,344598446807013
2441;;39,4582139251249;-0,398555079638533
2125;491.0;39,4582349030036;-0,354104566520758
